normalized_word,frequency,earliest_grade
डराती,5.0,2.0
डरा,5.0,2.0
वामन,5.0,4.0
कंधों,5.0,5.0
चढ़ना,5.0,2.0
केंद्रित,5.0,1.0
जलवायु,5.0,6.0
लंका,5.0,7.0
लगाम,5.0,6.0
अभिनंदन,5.0,9.0
अभ्यासों,5.0,1.0
सुसंगत,5.0,3.0
चचेरे,5.0,5.0
आमने,5.0,3.0
मरा,5.0,3.0
उपासना,5.0,1.0
धनपति,5.0,3.0
प्रिंट,5.0,1.0
चोंच,5.0,2.0
चौखट,5.0,5.0
चौकोर,5.0,1.0
जले,5.0,8.0
उठना,5.0,2.0
पाठकों,5.0,7.0
पातों,5.0,4.0
जलाए,5.0,6.0
धन्य,5.0,7.0
हटी,5.0,3.0
अथक,5.0,1.0
अधिकांश,5.0,6.0
अधर,5.0,6.0
हथेली,5.0,1.0
धम्म,5.0,4.0
ठेले,5.0,1.0
ठेला,5.0,1.0
डरता,5.0,4.0
डरकर,5.0,4.0
डमरू,5.0,1.0
धर्मशाला,5.0,8.0
गिरने,5.0,4.0
भीषणता,5.0,8.0
आनंदित,5.0,2.0
आनंदपूर्वक,5.0,3.0
आनंददायक,5.0,4.0
पाएगा,5.0,1.0
पाठ्यचर्चा,5.0,1.0
अवधारणा,5.0,1.0
सीधी,5.0,2.0
सीढ़ी,5.0,3.0
जागरूक,5.0,6.0
अभिमान,5.0,3.0
सूत्र,5.0,4.0
पाकर,5.0,4.0
ठिठुरकर,5.0,5.0
ठिठुर,5.0,5.0
शारदा,5.0,4.0
वाद्ययंत्रों,5.0,6.0
वाद्ययंत्र,5.0,4.0
आऊँगा,5.0,3.0
साँवला,5.0,7.0
चत,5.0,2.0
बस्ता,5.0,1.0
बसो,5.0,7.0
बहुमूल्य,5.0,2.0
मनहर,5.0,7.0
वार,5.0,1.0
प्रूफरीडर,5.0,6.0
पहुँचाने,5.0,2.0
संख्यातीत,5.0,8.0
संख,5.0,1.0
संगीतकारों,5.0,9.0
पांडेय,5.0,6.0
पाँय,5.0,8.0
पाँचवें,5.0,9.0
धोना,5.0,1.0
रंगोली,5.0,1.0
बैठता,5.0,5.0
बैकबोन,5.0,9.0
गोमुख,5.0,5.0
बैरी,5.0,9.0
सहेली,5.0,1.0
धो,5.0,1.0
ठन,5.0,7.0
ठिठक,5.0,6.0
कढ़ाई,5.0,2.0
वश,5.0,8.0
ध्विकाधसंत,5.0,7.0
ट्रॉली,5.0,1.0
ठहाका,5.0,8.0
नकल,5.0,1.0
भुलैया,5.0,1.0
गार्डन,5.0,9.0
मिशेल,5.0,3.0
खरबूजा,5.0,3.0
अपूर्णता,5.0,9.0
चेत,5.0,7.0
उँगली,5.0,1.0
कीटों,5.0,3.0
लटकाए,5.0,4.0
उतरने,5.0,3.0
जाओगे,5.0,5.0
सूरित,5.0,7.0
समृद्धि,5.0,3.0
शिक,5.0,7.0
शिला,5.0,4.0
वसुंधरा,5.0,6.0
बलवान,5.0,3.0
यूनिवर्सिटी,5.0,3.0
कृष,5.0,3.0
मार्गदर्शक,5.0,5.0
मनभावन,5.0,3.0
कूदकर,5.0,2.0
कृतियाँ,5.0,7.0
रंगमंच,5.0,5.0
रखती,5.0,3.0
बनेगा,5.0,1.0
बरसते,5.0,2.0
बरसता,5.0,2.0
चर,5.0,3.0
चम्मच,5.0,2.0
बरियार,5.0,2.0
आपमें,5.0,4.0
समुचित,5.0,1.0
जादुई,5.0,2.0
प्रीत,5.0,7.0
प्रेस,5.0,8.0
अशर्फियाँ,5.0,4.0
अशरफ,5.0,5.0
सिल्क,5.0,6.0
पढ़ाते,5.0,3.0
फड़फड़ाहट,5.0,5.0
फटा,5.0,8.0
चुनेंगे,5.0,4.0
षष्ठ,5.0,6.0
पहलुओं,5.0,5.0
अपाहिज,5.0,6.0
सेनापति,5.0,7.0
नगाड़ा,5.0,4.0
नक्षत्र,5.0,4.0
नयनों,5.0,6.0
चलन,5.0,6.0
बनाऊँगी,5.0,4.0
बनावट,5.0,3.0
चमत्कार,5.0,4.0
कथाएँ,5.0,5.0
नर्स,5.0,7.0
नर,5.0,7.0
नहर,5.0,3.0
जाहिर,5.0,8.0
जिज्ञासा,5.0,3.0
पहनकर,5.0,2.0
पहाड़ियों,5.0,3.0
उत्तराखंड,5.0,3.0
कीट,5.0,3.0
कीचड़,5.0,6.0
चूरमा,5.0,4.0
हँसता,5.0,1.0
नाक,5.0,2.0
टैक्स,5.0,9.0
कन्या,5.0,4.0
साठ,5.0,1.0
चूँकि,5.0,6.0
फ़ोन,5.0,7.0
फाड़,5.0,7.0
फाग,5.0,9.0
चुग,5.0,6.0
चुनौतीपूर्ण,5.0,3.0
कुटी,5.0,8.0
कुचिपुड़ी,5.0,7.0
सेवकों,5.0,7.0
सैयद,5.0,1.0
मूल्यांकन,5.0,3.0
कौतूहल,5.0,4.0
क्रमशः,5.0,3.0
आंतरिक,5.0,8.0
आयाम,5.0,2.0
मामूली,5.0,5.0
वपूर्ण,5.0,2.0
नाचना,5.0,2.0
जिनकी,5.0,1.0
भृगुपति,5.0,9.0
आश्रम,5.0,3.0
सने,5.0,8.0
पवित्रता,5.0,5.0
कसम,5.0,9.0
कसकर,5.0,5.0
लहलहाते,5.0,6.0
लहरों,5.0,9.0
नामदेव,5.0,9.0
टूटी,5.0,1.0
टूटा,5.0,5.0
नारी,5.0,7.0
रक्षक,5.0,3.0
इसरो,5.0,4.0
टिप्पणियां,5.0,1.0
टू,5.0,1.0
टुकड़ा,5.0,2.0
नायक,5.0,6.0
सोचें,5.0,2.0
जिला,5.0,2.0
जीने,5.0,6.0
रहित,5.0,6.0
चीजों,5.0,5.0
निंदक,5.0,8.0
बदलती,5.0,4.0
चलेगा,5.0,2.0
अस्पताल,5.0,7.0
अनन,5.0,3.0
निकली,5.0,1.0
संयोग,5.0,4.0
मेरठ,5.0,1.0
इच्छाओं,5.0,8.0
सलाद,5.0,4.0
उन्नति,5.0,6.0
मछुआरा,5.0,5.0
इंद्रधनुष,5.0,2.0
चिह्नित,5.0,4.0
परिलक्षित,5.0,1.0
सैन्य,5.0,6.0
सैनिकों,5.0,6.0
लाइए,5.0,8.0
कलम,5.0,1.0
आवाज़ों,5.0,1.0
आलोचनात्मक,5.0,1.0
आलोचना,5.0,8.0
मिज़ाज,5.0,8.0
माहौल,5.0,6.0
कू,5.0,1.0
संभाल,5.0,6.0
श्वेत,5.0,6.0
श्रोताओं,5.0,4.0
श्रेया,5.0,7.0
उत्क्रमित,5.0,1.0
श्रेणी,5.0,4.0
गूँज,5.0,3.0
भरने,5.0,1.0
सखा,5.0,5.0
इंचार्ज,5.0,1.0
संभाजीनगर,5.0,5.0
संभवतः,5.0,4.0
निबंधशास्त्र,5.0,9.0
नियरे,5.0,8.0
निर्दयी,5.0,5.0
भौतिक,5.0,3.0
परम,5.0,7.0
पराधीनता,5.0,9.0
अनोखा,5.0,5.0
स्वयंवर,5.0,9.0
निवेदन,5.0,5.0
निवासी,5.0,3.0
असुरक्षित,5.0,2.0
चाहा,5.0,7.0
बड़,5.0,4.0
टर,5.0,2.0
कनखजूरा,5.0,3.0
नीची,5.0,2.0
नीचा,5.0,6.0
कुटीर,5.0,8.0
ब्रह्मपुत्र,5.0,3.0
ब्लॉक,5.0,1.0
गो,5.0,3.0
सिद्धांतों,5.0,1.0
कलाओं,5.0,6.0
गाजर,5.0,1.0
भेजी,5.0,4.0
भोज,5.0,4.0
भंग,5.0,6.0
नीरा,5.0,1.0
नुकीली,5.0,4.0
शून्य,5.0,3.0
उदित,5.0,7.0
मगन,5.0,2.0
मजबूरी,5.0,6.0
बजाते,5.0,1.0
रत,5.0,7.0
सौभाग्य,5.0,6.0
परदे,5.0,7.0
परंपरागत,5.0,7.0
फूटना,5.0,1.0
फेंक,5.0,5.0
सिंधु,5.0,6.0
सिखाती,5.0,1.0
नैतिकता,5.0,1.0
झूले,5.0,1.0
रहमान,5.0,9.0
साफ़,5.0,1.0
अश्रु,5.0,6.0
झुककर,5.0,3.0
शुभ्र,5.0,8.0
कपाल,5.0,6.0
पंक,5.0,4.0
संभालने,5.0,5.0
फैली,5.0,2.0
फैलाकर,5.0,3.0
फौरन,5.0,7.0
फौज,5.0,8.0
सोचो,5.0,6.0
पकड़ा,5.0,1.0
मंतर,5.0,4.0
आमंत्रण,5.0,4.0
खाक,5.0,8.0
खाती,5.0,1.0
आबद्ध,5.0,6.0
उत्साहवर्धन,5.0,1.0
कमान,5.0,6.0
करतीं,5.0,1.0
उदासीनता,5.0,7.0
अनिल,5.0,6.0
अनुप्रास,5.0,9.0
अनुपालन,5.0,3.0
स्थितियों,5.0,2.0
झाम,5.0,2.0
पच्छिमी,5.0,9.0
पद्मलाल,5.0,9.0
पद्म,5.0,8.0
पद्धतियों,5.0,1.0
जोड़ा,5.0,1.0
ज्ञातता,5.0,4.0
ज्ञ,5.0,2.0
पगड़ी,5.0,4.0
पट्टी,5.0,3.0
पटेल,5.0,1.0
पड़ना,5.0,5.0
करण,5.0,1.0
चित्रण,5.0,8.0
गला,5.0,3.0
पतता,5.0,4.0
उदयपुर,5.0,4.0
श्रीनगर,5.0,9.0
अनूठा,5.0,7.0
ज्ञापित,5.0,1.0
लेखकों,5.0,6.0
उत्सुक,5.0,3.0
पड़ताल,5.0,9.0
झगड़े,5.0,5.0
पड़ोसियों,5.0,5.0
अनुपम,5.0,4.0
स्थापना,5.0,4.0
लुप्त,5.0,5.0
लेक्स,5.0,3.0
लेटा,5.0,7.0
लेट,5.0,7.0
मास,5.0,3.0
मिलाया,5.0,2.0
सदी,5.0,4.0
आश्रय,5.0,7.0
चित्रित,5.0,9.0
भगवानपुर,5.0,1.0
मुस्कान,5.0,5.0
क्रोधी,5.0,6.0
भक्षक,5.0,7.0
भयानक,5.0,6.0
भयभीत,5.0,4.0
सफाई,5.0,2.0
वेशभूषा,5.0,8.0
घनिष्ठ,5.0,5.0
घनघोर,5.0,7.0
घन,5.0,7.0
घड़े,5.0,4.0
व्यर्थ,5.0,6.0
उस्तरा,5.0,4.0
मुस्कराते,5.0,6.0
हैरानी,5.0,3.0
तिनका,5.0,3.0
उल्लिखित,5.0,1.0
उल्लास,5.0,5.0
होलिका,5.0,5.0
होय,5.0,6.0
अंकों,5.0,2.0
तुच्छ,4.0,4.0
उल्टा,4.0,1.0
उल्ल,4.0,4.0
तृप्त,4.0,9.0
तिरंगा,4.0,3.0
अंग्रेज,4.0,7.0
मुस्क,4.0,7.0
कौए,4.0,1.0
मोटर,4.0,5.0
मोक्ष,4.0,7.0
बेचा,4.0,1.0
काश,4.0,6.0
प्रचारण,4.0,1.0
गुब्बारे,4.0,2.0
गुब्बारा,4.0,1.0
भवानी,4.0,5.0
मुरली,4.0,7.0
मुरमुरे,4.0,1.0
मुन्नू,4.0,7.0
तैरना,4.0,1.0
खूबसूरती,4.0,9.0
खेलो,4.0,4.0
मही,4.0,9.0
करवाल,4.0,6.0
करवाया,4.0,1.0
लै,4.0,6.0
लेनी,4.0,3.0
शेषताएँ,4.0,8.0
उत्साहित,4.0,5.0
ज्वाला,4.0,6.0
झड़ी,4.0,7.0
स्तव,4.0,8.0
अनुवादक,4.0,3.0
पड़ेगी,4.0,9.0
पड़ेंगे,4.0,2.0
लेगी,4.0,6.0
पढ़ाते,4.0,3.0
पते,4.0,4.0
मित्रलाभ,4.0,8.0
बगल,4.0,3.0
बख्शीश,4.0,9.0
बचती,4.0,5.0
उदयशंकर,4.0,8.0
श्य,4.0,6.0
लीन,4.0,8.0
कराया,4.0,1.0
कराते,4.0,1.0
कराती,4.0,5.0
करोड़,4.0,8.0
स्टूल,4.0,8.0
स्टडीज,4.0,3.0
स्कूलों,4.0,3.0
बचाव,4.0,4.0
सावधान,4.0,8.0
सालों,4.0,6.0
पदार्थों,4.0,4.0
जोड़ती,4.0,9.0
ज्ञात,4.0,7.0
जौहरी,4.0,4.0
पदतल,4.0,8.0
पदक,4.0,5.0
पन्ना,4.0,7.0
लिंग,4.0,4.0
लिखाई,4.0,6.0
पड़ाव,4.0,1.0
बँट,4.0,5.0
बकरियाँ,4.0,2.0
बकरा,4.0,1.0
चित,4.0,1.0
चिपका,4.0,2.0
बगीचा,4.0,4.0
झांकी,4.0,2.0
खाद,4.0,3.0
खातिर,4.0,6.0
माहेश,4.0,4.0
समूची,4.0,3.0
पकड़ना,4.0,1.0
पकाए,4.0,3.0
श्रमिक,4.0,3.0
श्रद्धा,4.0,3.0
उत्पाद,4.0,4.0
स्थिर,4.0,6.0
पक्षों,4.0,6.0
झलमल,4.0,7.0
झारखंड,4.0,1.0
पक्के,4.0,2.0
पत्थरों,4.0,1.0
झुक,4.0,2.0
पंचमी,4.0,6.0
पंचकोश,4.0,1.0
झुरमुट,4.0,9.0
झुकी,4.0,3.0
लिखो,4.0,7.0
उत्पत्ति,4.0,6.0
अनुष्ठान,4.0,8.0
सोनम,4.0,6.0
संप्रेषित,4.0,3.0
संभावनाएँ,4.0,1.0
संभाला,4.0,4.0
फेरते,4.0,4.0
फैशन,4.0,6.0
बंडी,4.0,8.0
झाड़,4.0,9.0
अनुचित,4.0,7.0
नैना,4.0,7.0
झूली,4.0,1.0
नेपथ्य,4.0,5.0
नोट,4.0,1.0
रहकर,4.0,5.0
रस्सियाँ,4.0,9.0
ईश्वर,4.0,9.0
इलाके,4.0,6.0
इसी में,4.0,7.0
साहसी,4.0,3.0
बचाते,4.0,5.0
बचाकर,4.0,4.0
झुका,4.0,3.0
शोक,4.0,9.0
कबूतरों,4.0,4.0
चाहो,4.0,7.0
बजाती,4.0,2.0
रथ,4.0,4.0
गरिमा,4.0,3.0
गरमागरम,4.0,2.0
सोहर,4.0,9.0
पन,4.0,7.0
पद्य,4.0,3.0
जोतते,4.0,3.0
जोएल,4.0,6.0
लाली,4.0,2.0
चुं,4.0,1.0
फूँक,4.0,6.0
अश,4.0,4.0
लौटा,4.0,7.0
स्मारक,4.0,5.0
झोंपड़ी,4.0,5.0
झोंके,4.0,4.0
नुकसान,4.0,2.0
नीली,4.0,2.0
नृपति,4.0,9.0
झोला,4.0,1.0
नोंक,4.0,6.0
शुचि,4.0,9.0
समुद्री,4.0,5.0
मंडली,4.0,4.0
मक्खियाँ,4.0,3.0
मकड़ियाँ,4.0,3.0
मचलना,4.0,8.0
गर्जितोर्मी,4.0,9.0
मजबूत,4.0,9.0
बजने,4.0,1.0
ब्रजभाषा,4.0,6.0
ब्रज,4.0,6.0
गोंड,4.0,1.0
सिलवा,4.0,5.0
सिर्फ़,4.0,6.0
फूला,4.0,4.0
ईमानदार,4.0,4.0
लालन,4.0,5.0
लिखत,4.0,7.0
मिश्रण,4.0,5.0
भूषा,4.0,3.0
भेजें,4.0,5.0
गवर्नमेंट,4.0,6.0
गाई,4.0,3.0
गैसों,4.0,4.0
निहार,4.0,1.0
परिदृश्य,4.0,1.0
स्व,4.0,5.0
अनजान,4.0,7.0
अनगिन,4.0,6.0
स्वरों,4.0,1.0
रसाल,4.0,7.0
सामयिक,4.0,9.0
सामग्रियाँ,4.0,4.0
बढ़िया,4.0,2.0
चातक,4.0,7.0
निष्क,4.0,8.0
टकर,4.0,1.0
लौटना,4.0,6.0
कबड्डी,4.0,2.0
नींव,4.0,1.0
रमणीय,4.0,3.0
निरापद,4.0,6.0
नियुक्त,4.0,6.0
नियमों,4.0,5.0
निराली,4.0,2.0
निर्दोष,4.0,4.0
भैंसें,4.0,3.0
कलंकित,4.0,6.0
पर सुधरें,4.0,9.0
पराग,4.0,6.0
जुलूस,4.0,1.0
परवाह,4.0,7.0
अपनापन,4.0,9.0
अपनाना,4.0,7.0
सोभित,4.0,7.0
परिधि,4.0,8.0
परिधान,4.0,4.0
रचनात्मकता,4.0,2.0
बढ़ना,4.0,3.0
चारपाई,4.0,8.0
परिषद,4.0,2.0
लाता,4.0,4.0
परिशिष्ट,4.0,7.0
गूँ,4.0,1.0
भट्टी,4.0,8.0
सज,4.0,6.0
सच्चे,4.0,6.0
शीर्षकों,4.0,3.0
वगैरह,4.0,9.0
निडर,4.0,2.0
नियंत्रण,4.0,4.0
निमेष,4.0,9.0
टहल,4.0,7.0
आवास,4.0,7.0
जूते,4.0,3.0
परिवर्तनों,4.0,4.0
परिवर्तनकारी,4.0,6.0
परिष्कृत,4.0,3.0
जीवनी,4.0,6.0
परोपकार,4.0,7.0
लहराता,4.0,4.0
लहरा,4.0,7.0
लाते,4.0,7.0
आषाढ़,4.0,7.0
आलोचकों,4.0,8.0
रट,4.0,9.0
कुशाग्र,4.0,2.0
कुल्फ़ी,4.0,2.0
रचयिता,4.0,7.0
चश्मा,4.0,9.0
बत्तीस,4.0,3.0
सादर,4.0,3.0
निकटता,4.0,6.0
अनन्य,4.0,4.0
स्वाधीनता,4.0,6.0
अधिकारी,4.0,1.0
निकालने,4.0,8.0
निगाह,4.0,5.0
टाट,4.0,5.0
शीघ्रता,4.0,4.0
इंडिया,4.0,2.0
आत्मा,4.0,6.0
शुक,4.0,7.0
शीशमहल,4.0,4.0
मटके,4.0,2.0
नारा,4.0,8.0
टुकड़े,4.0,4.0
अप,4.0,2.0
जिराफ,4.0,6.0
रहस्यों,4.0,3.0
रागों,4.0,7.0
रागदारी,4.0,9.0
कीं,4.0,9.0
कुंड,4.0,5.0
फिरंगी,4.0,9.0
फायदा,4.0,5.0
फातिमा,4.0,6.0
फिल्में,4.0,9.0
नाला,4.0,6.0
नारों,4.0,6.0
कुलाँ,4.0,3.0
गतिविधियां,4.0,8.0
मालती,4.0,1.0
वर्णनात्मक,4.0,6.0
कतित,4.0,7.0
कदाचित,4.0,5.0
भनक,4.0,7.0
भृगुकुलकेतु,4.0,9.0
गाँवों,4.0,6.0
गाढ़ा,4.0,2.0
आशीष,4.0,9.0
मिलाना,4.0,3.0
लहसुन,4.0,1.0
चहक,4.0,5.0
कुसमय,4.0,7.0
कूदी,4.0,1.0
कूदने,4.0,3.0
कन्नड़,4.0,9.0
अहा,4.0,2.0
बोएँ,4.0,1.0
बोरे,4.0,1.0
बोरा,4.0,1.0
सरस्वती,4.0,7.0
सरसों,4.0,2.0
कलात्मक,4.0,4.0
फ़ोटो,4.0,4.0
फाउंडेशनल,4.0,1.0
फाइटर,4.0,9.0
फाँसी,4.0,6.0
सोई,4.0,2.0
आंटी,4.0,6.0
वय,4.0,3.0
समानताएँ,4.0,5.0
उपकरणों,4.0,1.0
नवाब,4.0,7.0
नवनीत,4.0,9.0
नवीनता,4.0,6.0
पसार,4.0,4.0
पहना,4.0,1.0
जामुन,4.0,2.0
जापानी,4.0,5.0
कीजिएगा,4.0,4.0
राखी,4.0,8.0
किरणों,4.0,3.0
संदूक,4.0,8.0
स्वर्णिम,4.0,6.0
टेबल,4.0,3.0
वधू,4.0,7.0
कन्हैयालाल,4.0,9.0
टोलियाँ,4.0,3.0
टोपी,4.0,3.0
नम,4.0,4.0
नयेपन,4.0,6.0
नम्रता,4.0,1.0
साक्षी,4.0,6.0
सादा,4.0,4.0
आँधी,4.0,7.0
आँचल,4.0,8.0
बनारस,4.0,6.0
इशारे,4.0,8.0
टों,4.0,7.0
वर्मा,4.0,3.0
कड़ा,4.0,7.0
कथकों,4.0,7.0
उपकार,4.0,3.0
भूलभुलैया,4.0,3.0
आध्यात्मिक,4.0,8.0
आपदा,4.0,8.0
प्रो,4.0,1.0
सिरा,4.0,8.0
अशर्फ़ियाँ,4.0,4.0
फँसा,4.0,6.0
फड़फड़ाता,4.0,5.0
फटी,4.0,7.0
संक्रांत,4.0,7.0
संकोच,4.0,7.0
पहलू,4.0,7.0
अफ़ीका,4.0,6.0
सेन,4.0,6.0
भुगतान,4.0,7.0
नदिया,4.0,3.0
अप्राप्य,4.0,8.0
ठठ,4.0,1.0
उपयोगिता,4.0,6.0
बरसें,4.0,8.0
बलि,4.0,6.0
बसना,4.0,6.0
चप्पल,4.0,1.0
योद्धा,4.0,6.0
माली,4.0,1.0
मटमैला,4.0,5.0
मतिदान,4.0,3.0
मधुमक्खी,4.0,3.0
मधुमक्खियाँ,4.0,3.0
नंगे,4.0,5.0
संरक्षक,4.0,5.0
भूला,4.0,9.0
खराब,4.0,6.0
खरा,4.0,4.0
उंगलियाँ,4.0,7.0
उच्चतर,4.0,3.0
संपत्त्य,4.0,7.0
राजनीतिक,4.0,8.0
चूर,4.0,6.0
प्लास्टिक,4.0,5.0
फट,4.0,6.0
जानो,4.0,2.0
लट्टू,4.0,1.0
लताओं,4.0,4.0
उतरू,4.0,9.0
उतरना,4.0,8.0
पहुंच,4.0,8.0
जानकी,4.0,3.0
धूलि,4.0,8.0
बैठक,4.0,4.0
बैग,4.0,8.0
बॉक्स,4.0,3.0
गोबर,4.0,3.0
गौरवशाली,4.0,6.0
बैठो,4.0,9.0
बोने,4.0,2.0
बोधन,4.0,8.0
ध्वज,4.0,6.0
वाक्यांश,4.0,5.0
वाकई,4.0,8.0
कठिनाइयों,4.0,7.0
हंसती,4.0,1.0
भुनते,4.0,8.0
खता,4.0,7.0
आवेग,4.0,9.0
सबक,4.0,7.0
मारना,4.0,6.0
खासी,4.0,5.0
वाराणसी,4.0,9.0
धाराओं,4.0,5.0
प्रूफ,4.0,4.0
पाऊँ,4.0,2.0
पांधकर,4.0,7.0
संख्याती,4.0,8.0
उतारने,4.0,2.0
संक्रांतिका,4.0,7.0
पाँवों,4.0,4.0
पाखण्ड,4.0,7.0
धुनों,4.0,7.0
धुएँ,4.0,3.0
कहेगा,4.0,4.0
लज्जित,4.0,6.0
गायों,4.0,5.0
ठोस,4.0,1.0
ठोकर,4.0,5.0
शिक्षित,4.0,6.0
सांभर,4.0,3.0
बहा,4.0,6.0
बहस,4.0,1.0
वार्तालाप,4.0,5.0
वारे,4.0,7.0
मनाने,4.0,3.0
गड़,4.0,5.0
गठन,4.0,6.0
मनाएँ,4.0,1.0
समा,4.0,2.0
धवल,4.0,8.0
आदी,4.0,9.0
पाओ,4.0,1.0
अवधारणाएँ,4.0,7.0
अवजी,4.0,9.0
अवगत,4.0,1.0
प्राणियों,4.0,3.0
पाक्षिक,4.0,7.0
ज़्यादा,4.0,6.0
सूचक,4.0,5.0
अभ,4.0,1.0
सूनेपन,4.0,9.0
सूने,4.0,9.0
लघु,4.0,6.0
लगेंगे,4.0,5.0
कहलाती,4.0,7.0
आमेर,4.0,4.0
आमंत्रित,4.0,1.0
मय,4.0,6.0
ममी,4.0,2.0
उपलब्धि,4.0,4.0
डलहौसी,4.0,9.0
धप्पा,4.0,2.0
प्रिंसटन,4.0,3.0
जली,4.0,5.0
ज़िंदगी,4.0,9.0
ज़रूरत,4.0,6.0
कहावतें,4.0,6.0
काँव,4.0,1.0
काँपते,4.0,6.0
हट्टा,4.0,9.0
डब्ल्यू,4.0,1.0
यूरोप,4.0,5.0
चतुष्पद,4.0,3.0
जवान,4.0,3.0
लक्ष्यों,4.0,8.0
लगना,4.0,5.0
उठाते,4.0,4.0
सूँघकर,4.0,7.0
अभिनेता,4.0,6.0
अभिनव,4.0,1.0
अमन,4.0,3.0
सूचित,4.0,7.0
सूचनाओं,4.0,1.0
बहुमुखी,4.0,8.0
बाँटा,4.0,1.0
कच्छ,4.0,1.0
समस्याएँ,4.0,6.0
संवादात्मकता,4.0,8.0
अदरक,4.0,1.0
हरकत,4.0,8.0
दोस्ती,4.0,2.0
दोषी,4.0,7.0
दौड़ते,4.0,6.0
डारी,4.0,6.0
द्,4.0,5.0
द्वंद्व,4.0,9.0
डरू,4.0,9.0
डरपोक,4.0,5.0
वामी,4.0,9.0
वामित्र,4.0,6.0
युवाओं,4.0,8.0
कृपया,4.0,4.0
केउ (no correction found),4.0,7.0
बहे,4.0,7.0
बाँहें,4.0,2.0
बाँधते,4.0,4.0
बांधकर,4.0,6.0
संवारती,4.0,6.0
जलचर,4.0,7.0
जलाशय,4.0,5.0
पायलट,4.0,4.0
पापा,4.0,2.0
पापड़,4.0,1.0
पाल,4.0,7.0
पारेखा,4.0,7.0
जया,4.0,6.0
जलन,4.0,5.0
पिंजड़े,4.0,9.0
पाश,4.0,9.0
डिब्बे,4.0,4.0
देतीं,4.0,9.0
हयापक,4.0,4.0
हय,4.0,6.0
अत्याचार,4.0,6.0
दैनंदिन,4.0,8.0
दोस्तों,4.0,2.0
हठी,4.0,7.0
शाखाएँ,4.0,3.0
शाखा,4.0,7.0
शाहजहाँपुर,4.0,6.0
कक्ष,4.0,1.0
ककड़ी,4.0,1.0
विछल,4.0,7.0
अदृश्य,4.0,7.0
चढ़ाकर,4.0,6.0
बागानों,4.0,5.0
बाड़े,4.0,9.0
कांप,4.0,9.0
काटना,4.0,5.0
काटते,4.0,4.0
काजू,4.0,4.0
पीछा,4.0,8.0
किनकी,4.0,2.0
किलोमीटर,4.0,3.0
छंद,4.0,8.0
प्रसार,4.0,5.0
चौकड़ी,4.0,6.0
प्राप्,4.0,8.0
सीखते,4.0,2.0
आशंका,4.0,6.0
शरारत,4.0,1.0
हलका,4.0,5.0
देगी,4.0,3.0
विचित्र,4.0,4.0
विज्ञों,4.0,9.0
विज़िटिंग,4.0,3.0
गजानन,4.0,1.0
मान्य,4.0,1.0
खिलाएगा,4.0,8.0
खिलते,4.0,2.0
खिसका,4.0,5.0
मानी,4.0,6.0
मामला,4.0,6.0
माफ,4.0,2.0
मापने,4.0,5.0
केंचुए,4.0,2.0
केसर,4.0,2.0
बैठती,4.0,9.0
औरंग,4.0,8.0
दू,4.0,4.0
ड्रामा,4.0,9.0
ड्योढ़ी,4.0,5.0
दूबे,4.0,4.0
हवा महल,4.0,4.0
हल्दीघाटी,4.0,6.0
हल्का,4.0,7.0
हलवाई,4.0,1.0
डॉक्टर,4.0,4.0
देखती,4.0,2.0
देखत,4.0,9.0
देत,4.0,9.0
हरिऔध,4.0,5.0
अटक,4.0,6.0
रोम,4.0,9.0
शशिकला,4.0,1.0
मरे,4.0,8.0
मलाई,4.0,1.0
मलमल,4.0,7.0
महत्ता,4.0,6.0
खोजा,4.0,6.0
ओडिशा,4.0,4.0
केयोल,4.0,6.0
केन्या,4.0,6.0
कौशिक,4.0,1.0
मेहता,4.0,6.0
मैनपुरी,4.0,7.0
बेवक्त,4.0,9.0
बैठने,4.0,5.0
बैठतीं,4.0,8.0
दूत,4.0,4.0
दूँगी,4.0,9.0
उपहास,4.0,7.0
उभय,4.0,7.0
गिलास,4.0,2.0
भास्कर,4.0,4.0
सजीले,4.0,9.0
सतह,4.0,3.0
आहत,4.0,7.0
सत्ता,4.0,4.0
सत्कार,4.0,6.0
खट,4.0,1.0
पिलाकर,4.0,2.0
पिनकोड,4.0,4.0
पीता,4.0,4.0
रोके,4.0,3.0
दु,4.0,4.0
ढूंढिए,4.0,7.0
दुर्बल,4.0,6.0
दुर्दशा,4.0,8.0
कैद,4.0,6.0
आखेट,4.0,5.0
सहाय,4.0,4.0
घोषणा,4.0,4.0
चंपक,4.0,2.0
चंद,4.0,9.0
बाधित,4.0,6.0
सहयोगी,4.0,7.0
दुर्जन,4.0,7.0
दुर्गा,4.0,1.0
दुलार,4.0,9.0
दूधवाले,4.0,5.0
दीजिएगा,4.0,
हस्तशिल्प,4.0,8.0
हाउस,4.0,9.0
हानिकारक,4.0,4.0
दिशाओं,4.0,2.0
ढूँढ़ते,4.0,4.0
ओस,4.0,7.0
काके,4.0,8.0
सुरुचि,4.0,6.0
अभिषेक,4.0,3.0
भाँ,4.0,8.0
अवरोध,4.0,2.0
राजन,4.0,2.0
राजदरबार,4.0,4.0
रामधारी,4.0,5.0
दीपावली,4.0,5.0
संशय,4.0,8.0
संस्थानों,4.0,1.0
केही,4.0,6.0
आचरण,4.0,6.0
आग्रही,4.0,7.0
पुटियायो,4.0,6.0
पुकारती,4.0,1.0
पुकारकर,4.0,3.0
जनाब,4.0,9.0
